CNTR_CODE,NUTS_ID,NUTS_NAME,Panel C
EL,EL431,Ηράκλειο,353.5842853
FR,FRI33,Deux-Sèvres,97.39839282
BE,BE342,Arr.,83.893411
UK,UKJ28,West,51.53736604
UK,UKH36,Heart,47.59485517
UK,UKL24,Powys,41.08759591
IT,ITF45,Lecce,36.57361733
ES,ES211,Araba/Álava,35.41953574
UK,UKJ27,West,21.46559893
UK,UKM61,Caithness,20.66545921
ES,ES423,Cuenca,17.64156747
NL,NL213,Twente,15.09329867
FR,FRI22,Creuse,14.84216011
ES,ES416,Segovia,14.68142786
FR,FRD13,Orne,14.6369807
PT,PT16B,Oeste,14.62568494
FR,FRC24,Territoire,14.42142832
NL,NL225,Achterhoek,13.07616439
UK,UKH25,Central,11.98210199
FR,FRK25,Loire,10.0321436
UK,UKF25,North,9.849526457
IT,ITC42,Como,9.79909313
BE,BE344,Arr.,9.772829917
FR,FRI21,Corrèze,9.76517717
ES,ES422,Ciudad,9.649888341
UK,UKH14,Suffolk,9.392396195
UK,UKN0F,Mid,9.166696382
FR,FRK14,Puy-de-Dôme,9.055046545
UK,UKH34,Essex,8.978490056
UK,UKD11,West,8.83025516
FR,FRK12,Cantal,8.417731342
UK,UKN0B,Mid,8.398538889
FR,FRJ14,Lozère,7.781377427
UK,UKH17,Breckland,7.776506738
IE,IE063,Midland,7.692533291
NL,NL414,Zuidoost-Noord-Brabant,7.679202476
UK,UKN08,"Newry,",7.316672954
ES,ES413,León,7.22736108
ES,ES300,Madrid,7.214051147
UK,UKM72,Clackmannanshire,7.193059098
UK,UKC14,Durham,7.013092333
UK,UKK13,Gloucestershire,6.744399485
EL,EL621,Ζάκυνθος,6.628048059
FR,FRC11,Côte-d’Or,6.509927829
ES,ES532,Mallorca,6.386065882
FR,FRJ24,Gers,6.315115385
SI,SI044,Obalno-kraška,6.239529419
BE,BE323,Arr.,6.125863279
UK,UKJ46,West,6.090137645
UK,UKJ12,Milton,6.057167149
UK,UKG13,Warwickshire,5.909689691
FR,FRD12,Manche,5.861917909
FR,FRK11,Allier,5.7963955
PL,PL22A,Katowicki,5.66772919
BE,BE257,Arr.,5.520810984
FR,FRD11,Calvados,5.516490582
IT,ITF64,Vibo,5.514390026
UK,UKJ43,Kent,5.496748668
PL,PL229,Gliwicki,5.461941221
FR,FRB03,Indre,5.43308904
ES,ES411,Ávila,5.428564196
FR,FRH01,Côtes-d’Armor,5.404971187
AT,AT213,Unterkärnten,5.338110873
FR,FRJ26,Hautes-Pyrénées,5.322460751
UK,UKK43,Devon,5.159537326
ES,ES432,Cáceres,5.155283945
FR,FRE21,Aisne,5.119039232
UK,UKM62,Inverness,5.074767381
BE,BE213,Arr.,5.069519067
FR,FRF23,Marne,5.036160049
UK,UKN0G,Fermanagh,5.02520414
IT,ITC47,Brescia,4.832468109
UK,UKE13,North,4.829544149
FR,FRC22,Jura,4.775021302
UK,UKJ41,Medway,4.769083445
FR,FRK21,Ain,4.721003555
UK,UKK15,Wiltshire,4.666141915
FR,FRG03,Mayenne,4.561766626
UK,UKE31,"Barnsley,",4.43819337
BE,BE310,Arr.,4.367161624
BE,BE32A,Arr.,4.360518429
UK,UKG24,Staffordshire,4.287489162
IT,ITF65,Reggio,4.280792574
AT,AT315,Traunviertel,4.259304801
FR,FRK28,Haute-Savoie,4.209858133
ES,ES241,Huesca,4.205663463
IT,ITG2H,Sud,4.203686334
BE,BE353,Arr.,4.134705737
BE,BE224,Arr.,4.114937436
NL,NL421,Noord-Limburg,4.081541346
UK,UKM93,East,4.07092174
FR,FRB02,Eure-et-Loir,4.039774621
FR,FRI32,Charente-Maritime,4.021299923
ES,ES424,Guadalajara,4.007401952
ES,ES220,Navarra,3.987683085
UK,UKC21,Northumberland,3.90269772
UK,UKL12,Gwynedd,3.849413045
AT,AT113,Südburgenland,3.849380219
ES,ES114,Pontevedra,3.805603465
FR,FRC13,Saône-et-Loire,3.792198379
FR,FRK13,Haute-Loire,3.785443968
FR,FRF22,Aube,3.742801437
FR,FRF24,Haute-Marne,3.674750019
NL,NL422,Midden-Limburg,3.657379137
NL,NL321,Kop,3.631763137
FR,FRE23,Somme,3.616350578
UK,UKM63,"Lochaber,",3.571697978
PT,PT16F,Região,3.544496328
UK,UKI53,Redbridge,3.508203765
UK,UKM92,Dumfries,3.455539873
SE,SE224,Skåne,3.445353721
UK,UKJ45,Mid,3.42775091
FR,FRF12,Haut-Rhin,3.379840201
FR,FRC23,Haute-Saône,3.354771683
IT,ITC46,Bergamo,3.34991058
UK,UKH23,Hertfordshire,3.339621572
FR,FRF34,Vosges,3.339426251
UK,UKE22,North,3.285590734
EL,EL522,Θεσσαλονίκη,3.269930307
FR,FRF32,Meuse,3.253105694
FR,FRD22,Seine-Maritime,3.227707527
UK,UKE45,Wakefield,3.225190283
UK,UKM91,Scottish,3.204675145
FR,FRE22,Oise,3.195750747
BE,BE343,Arr.,3.191508206
UK,UKG22,Shropshire,3.180530549
UK,UKK25,Dorset,3.179252442
FR,FRG05,Vendée,3.179172117
FR,FRB01,Cher,3.163758565
UK,UKC11,Hartlepool,3.133617022
BE,BE351,Arr.,3.127192259
ES,ES533,Menorca,3.10754151
NL,NL212,Zuidwest-Overijssel,3.08031319
FR,FRI31,Charente,3.072511389
BE,BE242,Arr.,3.07205744
ES,ES425,Toledo,3.058889595
CZ,CZ051,Liberecký,3.050735908
UK,UKL13,Conwy,3.038224663
ES,ES421,Albacete,3.034856343
ES,ES614,Granada,3.006413647
FR,FRI12,Gironde,2.982967907
FR,FRL02,Hautes-Alpes,2.976632727
FR,FRG01,Loire-Atlantique,2.96211393
FR,FRH04,Morbihan,2.953956074
BE,BE252,Arr.,2.931826563
FR,FRI34,Vienne,2.917067111
DK,DK032,Sydjylland,2.902654413
FR,FRI23,Haute-Vienne,2.87563836
FR,FRJ22,Aveyron,2.855446511
UK,UKJ44,East,2.852160696
FR,FRC14,Yonne,2.851453423
FR,FRL05,Var,2.843017597
FR,FRL04,Bouches-du-Rhône,2.842904673
ES,ES531,Eivissa,2.835406551
FR,FRF33,Moselle,2.826735681
UK,UKC23,Sunderland,2.822439279
